SLNo,OFFICE_NAME,LBCode,DISTRICT_NAME,WARD_NO,WARD_NAME_ENG,WARD_NAME_MAL
1,Amboori Grama Panchayat,G010908,Thiruvananthapuram,1,Mayam,മായം
2,Amboori Grama Panchayat,G010908,Thiruvananthapuram,2,Panchayat Office Ward,ഓഫീസ് വാർഡ്
3,Amboori Grama Panchayat,G010908,Thiruvananthapuram,3,Thodumala,തൊടുമല
4,Amboori Grama Panchayat,G010908,Thiruvananthapuram,4,Corporation,പന്തപ്ലാമൂട്
5,Amboori Grama Panchayat,G010908,Thiruvananthapuram,5,Amboori,അമ്പൂരി
6,Amboori Grama Panchayat,G010908,Thiruvananthapuram,6,Koottappu,കൂട്ടപ്പു
7,Amboori Grama Panchayat,G010908,Thiruvananthapuram,7,Thekkupara,തേക്കുപാറ
8,Amboori Grama Panchayat,G010908,Thiruvananthapuram,8,Kannannoor,കണ്ണന്നൂർ
9,Amboori Grama Panchayat,G010908,Thiruvananthapuram,9,Kudappanamoodu,കുടപ്പനമൂട്
10,Amboori Grama Panchayat,G010908,Thiruvananthapuram,10,Thudiyamkonam,തുടിയംകോണം
11,Amboori Grama Panchayat,G010908,Thiruvananthapuram,11,Puruthippara,പുറുത്തിപ്പാറ
12,Amboori Grama Panchayat,G010908,Thiruvananthapuram,12,Chirayakode,ചിറയക്കോട്
13,Amboori Grama Panchayat,G010908,Thiruvananthapuram,13,Kuttamala,കുട്ടമല
14,Amboori Grama Panchayat,G010908,Thiruvananthapuram,14,Kandamthitta,കണ്ടംതിട്ട
15,Anad Grama Panchayat,G010601,Thiruvananthapuram,1,Theerthamkara,തീർത്ഥങ്കര
16,Anad Grama Panchayat,G010601,Thiruvananthapuram,2,Chela,ചേല
17,Anad Grama Panchayat,G010601,Thiruvananthapuram,3,Kalliyodu,കല്ലിയോട്
18,Anad Grama Panchayat,G010601,Thiruvananthapuram,4,Iriyanadu,ഇര്യനാട്
19,Anad Grama Panchayat,G010601,Thiruvananthapuram,5,Chandramangalam,ചന്ദ്രമംഗലം
20,Anad Grama Panchayat,G010601,Thiruvananthapuram,6,Cheruveli,ചെറുവേലി
21,Anad Grama Panchayat,G010601,Thiruvananthapuram,7,Arampally,ആറാംപള്ളി
22,Anad Grama Panchayat,G010601,Thiruvananthapuram,8,Vanchuvam,വഞ്ചുവം
23,Anad Grama Panchayat,G010601,Thiruvananthapuram,9,Manoorkonam,മന്നൂർക്കോണം
24,Anad Grama Panchayat,G010601,Thiruvananthapuram,10,Thazhnnamala,താഴ്ന്നമല
25,Anad Grama Panchayat,G010601,Thiruvananthapuram,11,Chullimanoor,ചുള്ളിമാനൂർ
26,Anad Grama Panchayat,G010601,Thiruvananthapuram,12,Nettarakonam,നെട്ടറക്കോണം
27,Anad Grama Panchayat,G010601,Thiruvananthapuram,13,Anad Town,ആനാട് ഠൌണ്‍
28,Anad Grama Panchayat,G010601,Thiruvananthapuram,14,Mandapam,മണ്ഡപം
29,Anad Grama Panchayat,G010601,Thiruvananthapuram,15,Puthenpalam,പുത്തൻപാലം
30,Anad Grama Panchayat,G010601,Thiruvananthapuram,16,Thirichittor,തിരിച്ചിറ്റൂർ
31,Anad Grama Panchayat,G010601,Thiruvananthapuram,17,Vettampally,വേട്ടമ്പള്ളി
32,Anad Grama Panchayat,G010601,Thiruvananthapuram,18,Venkavila,വേങ്കവിള
33,Anad Grama Panchayat,G010601,Thiruvananthapuram,19,Thannimoodu,താന്നിമൂട്
34,Anad Grama Panchayat,G010601,Thiruvananthapuram,20,Irinchayam,ഇരിഞ്ചയം
35,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,1,Maithani,മൈതാനി
36,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,2,Karichara,കരിച്ചാറ
37,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,3,Velloor,വെള്ളൂർ
38,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,4,Gandhismarakam,ഗാന്ധിസ്മാരകം
39,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,5,Koithoorkonam,കൊയ്ത്തൂർക്കോണം
40,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,6,Thiruvelloor,തിരുവെള്ളൂർ
41,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,7,Keezhavoor,കീഴാവൂർ
42,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,8,Andoorkonam,അണ്ടൂർക്കോണം
43,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,9,Parambilpalam,പറമ്പിൽപ്പാലം
44,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,10,Paichira,പാച്ചിറ
45,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,11,Kallupalam,കല്ലുപാലം
46,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,12,Pallichaveedu,പള്ളിച്ചവീട്
47,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,13,Kunninakam,കുന്നിനകം
48,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,14,Alummoodu,ആലുംമൂട്
49,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,15,Thekkevila,തെക്കേവിള
50,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,16,Valiyaveedu,വലിയവീട്
51,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,17,Kaniyapuram,കണിയാപുരം
52,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,18,Pallippuram,പള്ളിപ്പുറം
53,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,19,Sreepadam,ശ്രീപാദം
54,Andoorkonam Grama Panchayat,G010701,Thiruvananthapuram,20,Kandal,കണ്ടൽ
55,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,1,Kayikkara Asan Smarakam,കായിക്കര ആശാന്‍ സ്മാരകം
56,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,2,Nedunganda,നെടുങ്ങണ്ട
57,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,3,Kaikkara,കായിക്കര
58,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,4,Kapaleeswaram,കാപാലീശ്വരം
59,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,5,Erangukadavu,ഇറങ്ങുകടവ്
60,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,6,Mudippura,മുടിപ്പുര
61,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,7,Kettupura,കേട്ടുപുര
62,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,8,Puthen Nada,പുത്തന്‍നട
63,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,9,Kochumethankadavu,കൊച്ചുമേത്തന്‍ കടവ്
64,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,10,Valiya Palli,വലിയപളളി
65,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,11,Anchuthengukottah,അഞ്ചുതെങ്ങ് കോട്ട
66,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,12,Anchuthengujunction,അഞ്ചുതെങ്ങ് ജംഗ്ഷന്‍
67,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,13,Mannakulam,മണ്ണാക്കുളം
68,Anjuthengu Grama Panchayat,G010301,Thiruvananthapuram,14,Mampally,മാമ്പളളി
69,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,1,Vellorkkonam,വെള്ളൂർക്കോണം
70,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,2,Kokkothamangalam,കോക്കോതമംഗലം
71,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,3,Kalathara,കളത്തറ
72,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,4,Mundela,മുണ്ടേല
73,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,5,Mailamoodu,മൈലമൂട്
74,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,6,Aruvikkara,അരുവിക്കര
75,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,7,Vembannoor,വെമ്പന്നൂർ
76,Aruvikkara Grama Panchayat,G010602,Thiruvananthapuram,8,Kadambanad,കടമ്പനാട്‌
